 , ,Abdominal Belt,Thoracic belt,Pulse Train Stimulation,Stimulation Gate,Flow Stim Box,Paw Stim Box,Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Moment (X),Millar 1,Pulse Oximetry,PPG (PAT),Moment(Y),Moment(Z),Flow 2,Stim Gate,Millar, ,Flow Sensor Mouth,Flow Sensor Total,Tidal Volume Nose,Tidal Volume Mouth,Tidal Volume Total, ,Flow Sensor Mouth, ,Tidal Volume Nose,Flow Sensor Mouth,Tidal Volume Nose, , , ,Tidal Volume Mouth,Tidal Volume Mouth,Tidal Volume Nose,Tidal Volume Nose, 
Cmt Text,Cmt Time,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Cmt Text, ,Cmt Text,Cmt Text, , , , ,Cmt Text, ,Cmt Text, ,Cmt Time
MaxNegPressure-Analysis1,42:16.6,24.7419796,30.0196,-0.0006,0.0034375,0.1454,6.9204,0.0394,-1.6,-0.2884375,-1.25,2.5925,96.7813,-0.5809,-9.0625,2.0703125,-0.041795999,0.0034375,-28.13652039,0.145449817,-0.041795999,0.103653818,0.052431162,0.000143815,0.0524,353.5956,Analysis Start,0.145449817,Analysis Start,Analysis Start,0.052431162, , , ,Analysis Start,0.000143815,Analysis Start,0.052431162,42:15.2
EffortNewEventEnd,42:17.0,20.97538948,31.8067,-0.0031,0.005,1.1922,6.8167,0.1653,-1.5997,-0.2409375,-3.6719,33.2775,96.7969,-0.1397,-29.4921875,-4.1015625,0.118585013,0.005,1.860849977,1.192247629,0.118585013,1.31083262,0.054925893,0.000368333,0.0549,-380.4918,Analysis Start,1.192247629,Analysis Start,Analysis Start,0.054925893, , , ,Analysis Start,0.000368333,Analysis Start,0.054925893,42:15.2
TVTotal-Analysis1,42:17.5,12.09612179,33.8665,-0.0009,0.0028125,0.0427,6.9856,-0.0459,-1.6,0.179375,-1.2109,43.7325,96.8125,-0.5125,-9.1015625,5.2734375,0.043437645,0.0028125,12.83473015,0.042734619,0.043437645,0.086172268,0.076871082,1.43E-05,0.0769,-69.8877,Analysis Start,0.042734619,Analysis Start,Analysis Start,0.076871082, , , ,Analysis Start,1.43E-05,Analysis Start,0.076871082,42:15.2
InspEnd-Analysis1,42:17.5,12.09576607,33.861,-0.0016,0.0025,-0.0501,6.9903,-0.0462,-1.6,0.18,-1.2891,43.775,96.7969,-0.5109,-9.1796875,5.1953125,0.044852104,0.0025,12.84401989,-0.05005056,0.044852104,-0.005198456,0.076870218,1.53E-05,0.0769,-69.7339,Analysis Start,-0.05005056,Analysis Start,Analysis Start,0.076870218, , , ,Analysis Start,1.53E-05,Analysis Start,0.076870218,42:15.2
Analysis End,42:17.9,13.73329258,32.9629,-0.0028,0.0046875,-3.118,6.9645,0.0072,-1.6,0.1475,-1.3281,42.9675,96.7656,-0.5547,-8.6328125,4.53125,0.088860087,0.0046875,12.07963467,-3.117964745,0.088860087,-3.02910471,0.041842818,0.000134775,0.0418,15.4995,Analysis End,-3.117964745,Analysis End,Analysis End,0.041842818, , , ,Analysis End,0.000134775,Analysis End,0.041842818,42:17.9
Analysis Start,41:56.1,14.73358822,33.3296,-0.0016,0.0028125,-2.3579,7.0441,0.0241,-1.5997,0.165,-1.3281,44.5825,97.7813,-0.2856,-7.4609375,3.8671875,0.068117678,0.0028125,12.59210396,-2.357855082,0.068117678,-2.289737463,0.074284837,0.000127916,0.0743,-2.1617,Analysis Start,-2.357855082,Analysis Start,Analysis Start,0.074284837, , , ,Analysis Start,0.000127916,Analysis Start,0.074284837,41:56.1
InspStart-Analysis1,41:56.9,14.10041523,33.1124,-0.0013,0.0034375,0.004,6.8928,0.0362,-1.6,0.141875,-0.9766,44.1575,97.7969,-0.2044,-6.640625,3.671875,-0.00280572,0.0034375,12.68088055,0.003977683,-0.00280572,0.001171964,7.09E-06,0.000274817,0,-232.1795,Analysis Start,0.003977683,Analysis Start,Analysis Start,7.09E-06, , , ,Analysis Start,0.000274817,Analysis Start,7.09E-06,41:56.1
EffortNewEventStart,41:57.0,14.06427765,33.0389,-0.0006,0.0028125,3.9881,6.7163,0.0612,-1.5997,0.0971875,-0.9766,43.435,97.75,-0.1203,-6.25,3.8671875,-0.02183304,0.0028125,11.74624443,3.988063574,-0.02183304,3.966230631,0.002137679,0.000261903,0.0021,-316.4454,Analysis Start,3.988063574,Analysis Start,Analysis Start,0.002137679, , , ,Analysis Start,0.000261903,Analysis Start,0.002137679,41:56.1
VmaxNose-Analysis1,41:57.1,12.65544128,33.4007,-0.0013,0.003125,15.637,5.7201,0.0853,-1.6,0.1503125,-0.8594,36.21,97.7656,-0.3869,-4.4921875,-0.703125,-0.077273183,0.003125,4.995629311,15.63698959,-0.077273183,15.55971622,0.021435224,0.000161329,0.0214,-177.9227,Analysis Start,15.63698959,Analysis Start,Analysis Start,0.021435224, , , ,Analysis Start,0.000161329,Analysis Start,0.021435224,41:57.1
MaxNegPressure-Analysis1,41:58.2,27.57462502,30.6257,-0.0016,0.0028125,1.3111,6.8235,0.0575,-1.5997,-0.3271875,-1.1719,2.72,97.8125,-0.775,-7.8125,3.7890625,-0.027040657,0.0028125,-27.90600777,1.31109333,-0.027040657,1.28405273,0.094379619,0.000354318,0.0944,62.0174,Analysis Start,1.31109333,Analysis Start,Analysis Start,0.094379619, , , ,Analysis Start,0.000354318,Analysis Start,0.094379619,41:57.1
